Date,Open,High,Low,Close,Adj Close,Volume
2024-02-08,2902.000000,2948.000000,2857.500000,2890.500000,2890.500000,5258500
2024-02-09,2640.500000,2645.000000,2415.000000,2552.000000,2552.000000,11727800
2024-02-13,2553.000000,2625.500000,2530.500000,2552.000000,2552.000000,4680400
2024-02-14,2505.500000,2537.500000,2467.000000,2498.000000,2498.000000,3236100
2024-02-15,2548.000000,2557.500000,2466.500000,2490.000000,2490.000000,1924500
2024-02-16,2484.500000,2626.500000,2472.000000,2603.000000,2603.000000,2711200
2024-02-19,2595.500000,2627.000000,2533.000000,2550.000000,2550.000000,2141400
2024-02-20,2533.500000,2584.000000,2505.500000,2538.500000,2538.500000,1648100
2024-02-21,2548.500000,2548.500000,2479.500000,2507.500000,2507.500000,2032500
2024-02-22,2521.000000,2543.500000,2496.500000,2520.500000,2520.500000,1727900
2024-02-26,2471.500000,2534.000000,2416.000000,2432.500000,2432.500000,3079700
2024-02-27,2452.500000,2497.000000,2441.000000,2471.500000,2471.500000,1949000
2024-02-28,2470.000000,2472.000000,2434.500000,2448.500000,2448.500000,1507600
2024-02-29,2418.000000,2441.000000,2384.000000,2426.000000,2426.000000,2035400
