Date,positive,negative,naver_trend
2021-09-18,0,0,8.75918
2021-09-19,0,0,8.27272
2021-09-20,0,0,10.87329
2021-09-21,0,0,12.40782
2021-09-22,0,0,10.57235
2021-09-23,0,0,11.47732
2021-09-24,0,0,11.25476
2021-09-25,0,0,11.16919
2021-09-26,0,0,8.1102
2021-09-27,0,0,9.40779
2021-09-28,0,0,13.31998
2021-09-29,0,0,11.85664
2021-09-30,0,0,10.72156
2021-10-01,0,0,9.30784
2021-10-02,0,0,8.09582
2021-10-03,0,0,8.39532
2021-10-04,0,0,10.59069
2021-10-05,0,0,13.39225
2021-10-06,0,0,11.54491
2021-10-07,0,0,10.30377
2021-10-08,0,0,10.17578
2021-10-09,0,0,8.08503
2021-10-10,0,0,7.17611
2021-10-11,0,0,10.14665
2021-10-12,0,0,12.63613
2021-10-13,0,0,11.85556
2021-10-14,0,0,11.04012
2021-10-15,0,0,11.4011
2021-10-16,0,0,11.88253
2021-10-17,0,0,8.23137
2021-10-18,0,0,10.61442
2021-10-19,0,0,18.84507
2021-10-20,0,0,13.74388
2021-10-21,0,0,21.58982
2021-10-22,0,0,18.90835
2021-10-23,0,0,21.36439
2021-10-24,0,0,11.43885
2021-10-25,0,0,23.67805
2021-10-26,27.65957,0,84.39152
2021-10-27,0,0,40.26555
2021-10-28,0,0,28.45637
2021-10-29,10.63829,0,24.63335
2021-10-30,0,0,20.89806
2021-10-31,0,0,12.3111
2021-11-01,10.63829,0,19.23949
2021-11-02,38.29787,0,48.6091
2021-11-03,0,0,28.60342
2021-11-04,0,0,26.24662
2021-11-05,0,0,21.90047
2021-11-06,0,0,14.56364
2021-11-07,0,0,13.59107
2021-11-08,0,0,24.90049
2021-11-09,0,0,26.5605
2021-11-10,0,0,43.5924
2021-11-11,0,0,33.26525
2021-11-12,0,0,21.86739
2021-11-13,0,0,22.4067
2021-11-14,0,0,14.42809
2021-11-15,0,0,17.56294
2021-11-16,0,0,24.80234
2021-11-17,0,0,19.80289
2021-11-18,0,0,17.7348
2021-11-19,0,0,15.22987
2021-11-20,0,0,12.85868
2021-11-21,0,0,9.71304
2021-11-22,0,0,13.97255
2021-11-23,0,0,18.24787
2021-11-24,0,0,17.60033
2021-11-25,0,0,14.29973
2021-11-26,0,0,11.41081
2021-11-27,0,0,11.51471
2021-11-28,0,0,8.52835
2021-11-29,0,0,11.04227
2021-11-30,0,0,14.77505
2021-12-01,0,0,13.67952
2021-12-02,0,0,14.36769
2021-12-03,0,0,13.28546
2021-12-04,0,0,14.5151
2021-12-05,0,0,7.92719
2021-12-06,0,0,12.46211
2021-12-07,0,0,16.78022
2021-12-08,0,0,13.40303
2021-12-09,0,0,12.85832
2021-12-10,0,0,18.15187
